resume_path,cosine_similarity,coverage_score,coverage_hits,coverage_total_terms,final_score
data/resumes/NandwaniPriyanka_EY_Grad2025.docx,0.0476,1.0,37,150,0.4285
data/resumes/Priyanka N N.docx,0.0386,1.0,42,150,0.4231
data/resumes/PriyankaN_AmazonSDE_Grad2025.pdf,0.0358,1.0,64,150,0.4215
data/resumes/PriyankaNandwani_SDE.docx,0.0338,1.0,54,150,0.4203
data/resumes/NandwaniPriyanka_Goldman_Grad2025.pdf,0.0336,1.0,64,150,0.4202
data/resumes/NandwaniPriyanka_Resume.docx,0.0298,1.0,37,150,0.4179
data/resumes/NandwaniPriyanka_CSVAnalyst_Grad2025.docx,0.0277,1.0,54,150,0.4166
data/resumes/NandwaniPriyanka_AmazonSDE_2025.pdf,0.0397,0.7333,56,150,0.3172
data/resumes/NandwaniPriyanka_Light&Wonder_Grad2025.pdf,0.0482,0.6533,53,150,0.2903
data/resumes/NandwaniPriyanka_TylerTechnologies_Grad2025.pdf,0.0312,0.5133,50,150,0.224
data/resumes/NandwaniPriyanka_TMobile_Grad2025.pdf,0.0237,0.4667,43,150,0.2009
data/resumes/NandwaniPriyanka_LinkSquares_Grad2025.pdf,0.053,0.42,63,150,0.1998
data/resumes/NandwaniPriyanka_IBM_Grad2025.pdf,0.0286,0.4067,61,150,0.1798
data/resumes/NandwaniPriyanka_FrontEnd_Grad2025.pdf,0.0223,0.4133,35,150,0.1787
data/resumes/NandwaniPriyanka_CX2_grad2025.pdf,0.0438,0.38,57,150,0.1783
data/resumes/NandwaniPriyanka_Adobe_Grad2025.pdf,0.0419,0.38,57,150,0.1771
data/resumes/NandwaniPriyanka_Airgarage_Grad2025.pdf,0.0326,0.3933,41,150,0.1769
data/resumes/NandwaniPriyanka_Mozilla_Grad2025.pdf,0.0234,0.4,33,150,0.174
data/resumes/NandwaniPriyanka_SoftwareEngineerI_Grad2025.pdf,0.0317,0.3867,58,150,0.1737
